dtime,yaw,pitch,roll,q0,q1,q2,q3
"2021/10/15 09:21:54",7.97438374348,-55.4317541501,-9.27883414538,0.882844269276,-0.0391978397965,-0.467420399189,0.0238264687359
"2021/10/15 09:22:24",8.95033348831,-57.4368180667,-10.0769756336,0.874232470989,-0.0394393950701,-0.483199059963,0.0260929595679
"2021/10/15 09:22:54",9.4185839848,-59.0032498085,-10.4782755652,0.867471575737,-0.0389439165592,-0.49526014924,0.0263416226953
"2021/10/15 09:23:25",9.5517747668,-60.1284625711,-10.6324465168,0.862614154816,-0.0383784249425,-0.503759980202,0.0254922602326
"2021/10/15 09:23:55",9.52210114067,-60.7153842849,-10.678749712,0.860082030296,-0.0382526442409,-0.508132100105,0.0244418829679
"2021/10/15 09:24:25",9.32940003888,-60.8145035282,-10.6112653171,0.859716236591,-0.0384997949004,-0.508790671825,0.0231905113906
"2021/10/15 09:24:56",8.96488427694,-60.3971081952,-10.424665062,0.861652195454,-0.039129152894,-0.505522489548,0.0217117853463
"2021/10/15 09:25:25",8.46997772211,-59.4893418254,-10.1445017086,0.865722775459,-0.0400588139892,-0.498512268066,0.0201218575239
"2021/10/15 09:25:54",7.88858129944,-58.1434178292,-9.81094384679,0.871606349945,-0.0412603728473,-0.48811841011,0.0184477921575
"2021/10/15 09:26:26",7.15706681252,-56.107533281,-9.4009946433,0.880229055882,-0.0429221130908,-0.472318142653,0.0164331961423
"2021/10/15 09:26:57",6.42293337854,-53.7004888204,-9.01304602125,0.890023052692,-0.0447672232985,-0.453483849764,0.0143947685137
"2021/10/15 09:27:27",5.73222911456,-51.0800828656,-8.69498146577,0.9001968503,-0.0468162745237,-0.432783484459,0.0123445307836
"2021/10/15 09:27:58",5.12431266519,-48.4437159467,-8.48115777288,0.909914016724,-0.0490770936012,-0.411753326654,0.0103490920737
"2021/10/15 09:28:28",4.61625387954,-45.9500799691,-8.36503887785,0.918624579906,-0.0514158569276,-0.391679018736,0.00853486638516
"2021/10/15 09:28:58",4.171745572,-43.5142388043,-8.32392904235,0.926679611206,-0.0539054721594,-0.371903777122,0.00683117145672
"2021/10/15 09:29:28",3.78232204363,-41.1443335585,-8.34908929932,0.934081971645,-0.0565505102277,-0.352512866259,0.00524924695492
"2021/10/15 09:29:59",3.42954036919,-38.7606369394,-8.43705324834,0.941090106964,-0.0594584457576,-0.332866370678,0.00375262182206
"2021/10/15 09:30:29",3.1283099718,-36.5131303868,-8.57524828853,0.947291851044,-0.0624462924898,-0.314217507839,0.0024371300824
"2021/10/15 09:30:59",2.86270433039,-34.3229793027,-8.76204329351,0.952950894833,-0.0656159520149,-0.295935124159,0.00126463500783
"2021/10/15 09:31:30",2.61879304591,-32.1085661,-9.00227877231,0.958281934261,-0.0690985694528,-0.277346432209,0.000194845546503
"2021/10/15 09:32:00",2.4094482884,-30.0162985011,-9.27752200137,0.962952673435,-0.0726706162095,-0.259693473577,-0.000696858100127
"2021/10/15 09:32:30",2.22566310733,-27.9775823118,-9.5942681111,0.967154204845,-0.0764542222023,-0.242415860295,-0.00143239565659
"2021/10/15 09:33:01",2.05791522352,-25.8986736893,-9.96185482243,0.971081137657,-0.0805934816599,-0.22472666204,-0.00201827473938
"2021/10/15 09:33:31",1.93163555246,-23.9751813334,-10.3564647334,0.974377930164,-0.0847867876291,-0.20831091702,-0.00232209800743
"2021/10/15 09:34:01",1.85805151057,-22.1992246595,-10.8018440846,0.977102816105,-0.089243941009,-0.193133026361,-0.00227808067575
"2021/10/15 09:34:31",1.81230468276,-20.4874505801,-11.2892028,0.979442775249,-0.0939789116383,-0.178482040763,-0.00200217310339
"2021/10/15 09:35:02",1.78443974198,-18.7412112988,-11.8330043926,0.981542408466,-0.0991693362594,-0.163516536355,-0.00149935658555
"2021/10/15 09:35:32",1.77414752641,-17.0705742583,-12.3972129844,0.983273267746,-0.10448217392,-0.149186223745,-0.000802828813903
"2021/10/15 09:36:02",1.77777799454,-15.4170853886,-12.9990713586,0.984711110592,-0.110091239214,-0.13499596715,9.29326051846E-05
